text,label
When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,REAL
"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",REAL
The economic turnaround started at the end of my term.,REAL
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,REAL
"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",REAL
"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",REAL
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,REAL
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",REAL
"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",REAL
The economy bled $24 billion due to the government shutdown,REAL
"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",REAL
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,REAL
"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",REAL
"Almost 100,000 people left Puerto Rico last year.",REAL
The United States has the highest corporate tax rate in the free world.,REAL
We just had the best year for the auto industry in America in history.,REAL
"Says Scott Walker favors cutting up to 350,000 families and children off health care.",REAL
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,REAL
Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,REAL
Youth unemployment in minority communities is about 40 to 45 percent.,REAL
Says Paul Ryan is still endorsing Trump.,REAL
We cut business taxes so today 70 percent of our businesses dont pay a business tax.,REAL
Says Mark Pryor votes with Obama 93 percent of the time.,REAL
We have a federal government that thinks they have the authority to regulate our toilet seats.,REAL
"Under (Obamacare), you cant reward a person for better behavior You cant have incentives to be healthier",REAL
The federal deficit is growing,REAL
Says the New Years Day fiscal cliff deal reduces the deficit,REAL
The Arizona law basically parrots the federal immigration law,REAL
More than 80 percent of sex trafficking victims in America are US citizens,REAL
Kathryn Starkey aided and abetted the continued taxation on residents properties over 70 percent of the time by seconding motions and voting to keep the millage rate the same,REAL
"HB 194, the Voter Suppression Bill, invalidates a vote where a voter properly marks the ballot in support of a particular candidate, but also writes in the name of that same candidate",REAL
"Approximately 43 percent of all college grades today are As, an increase of 28 percentage points since 1960",REAL
New Hampshire is currently the only state in the nation that does not have a full-service veterans hospital or equivalent access,REAL
Says Rick Scotts per-pupil education spending is about $200 less than what it was under Charlie Crist during the recession,REAL
A bill to eliminate Delta Air Lines jet fuel tax breaks violates federal law and puts the state at risk of losing critical funding from the Federal Aviation Administration,REAL
Says he was the only statewide elected official to speak in favor of a federal guest worker plan at the 2012 Republican Party of Texas convention,REAL
Austin mayoral candidate Steve Adler opposed an injunction to stop a company from dumping petrochemicals directly into the Barton Springs aquifer,REAL
The (Florida) casino proposed by Malaysian gambling conglomerate Genting would be nearly double the size of the largest casino in the world,REAL
Suzanne Bonamici votes with her party a partisan 98 percent of the time,REAL
"Since the Democrats stimulus went into effect last year, Ohio has lost about 150,000 Jobs",REAL
The Obama administration has put out more of these major rules than the Clinton administration or the Bush administration during comparable times,REAL
"In 2013 we had the largest, the best, private sector job growth weve had in this state since the 1990s",REAL
We Really Do Have the Highest Corporate Tax Rate in the World,REAL
Heroin comes in the United States from the southern border,REAL
Russia has an economy the size of Italy,REAL
"In every committee when the health care bill was considered, Democrats voted against an amendment that would require members of Congress and their staff to take the government-run public option as their health care plan",REAL
Obamas approval numbers are in the low 40s,REAL
"Barack Obama will somehow manage to add more than $8 trillion to the national debt, which is more debt than the 43 presidents who held office before him compiled together",REAL
"He voted twice for a budget resolution that increases the taxes on individuals making $42,000 a year",REAL
Democrats have failed to answer the most basic question of how they want to pay for the more than $1 trillion of health care spending,REAL
"Over the past eight years, the United States has reduced our total carbon pollution more than any other nation on Earth",REAL
"More than half of all black children live in single-parent households, a number that has doubled doubled since we were children",REAL
"The richest 400 taxpayers are taxed at a lower rate than a $29,000-a-year worker",REAL
Our trade with Mexico is $720 million a day; thats our No 1 trading partner,REAL
"Ive got the spending down, Ive got the debt down a little bit, Ive got the reserves up",REAL
When I talk about (raising the) minimum wage  half of Republicansagree with it,REAL
"Over half of science, technology, engineering and mathematics students receiving advanced degrees are not citizens of the United States of America",REAL
"Unlike you and me, Congress gets to keep up to $11,000 a year in taxpayer subsidies under Obamacare",REAL
"During the George W Bush period, there were 13 attacks on various embassies and consulates around the world Sixty people died",REAL
Says Texas high school graduation rates are at an all-time highthe third-highest in the nationwhich represents a significant turnaround from just a few short years ago,REAL
Public display of a long rifle is perfectly legal in Texas,REAL
Says Donald Trumps tax plan gives the wealthy and corporations more than the Bush tax cuts by at least a factor of two,REAL
Houston is the third-most toxic city in the United States of America,REAL
"As a result of Roe vs Wade, Americas maternal mortality rate dropped dramatically",REAL
"We definitely lost way more jobs in Texas this year than we gained we lost 300,000 jobs in Texas alone this year",REAL
Mercedes-Benz USA moving its headquarters to Atlanta will create at least 800 jobs,REAL
"Says 80 percent of North Carolinians support the concept that men should not be in womens restrooms, changing rooms, bathrooms, etc",REAL
Georgia had the worst job losses in state history under GOP watch,REAL
Says 85 percent of Milwaukee shootings involve people with extensive criminal records shooting other people with extensive criminal records,REAL
Bill Clinton cut the military drastically,REAL
Florida is second in the nation in the uninsured,REAL
Says 92 percent of Texas counties had no abortion provider in 2008,REAL
The United states is borrowing more than 40 cents of every dollar we spend,REAL
I am now the No 2 member of this House in terms of length of service,REAL
Says the inspector general for the IRS said there was no political motivation and no outside influence for targeting of tax-exempt applications from tea party groups,REAL
Says the United States is the Saudi Arabia of coal,REAL
More black babies are aborted in NYC than born,REAL
"Under Gov Tom Corbett, Pennsylvania ranks 49th in job creation",REAL
"Under Gov Kitzhaber, unemployment rose 65 percent, state spending went up 57 percent and personal incomes declined compared to the rest of the country",REAL
Says Donald Trump is on record extensively supporting (the) intervention in Libya,REAL
"Says Rick Scott cut education to pay for even more tax breaks for big, powerful, well-connected corporations",REAL
"On the night of the Wisconsin state Senate vote on the budget package, a mob showed up and busted down the door and took over the Capitol",REAL
Says Texas is dead last in support for mental health,REAL
Ted Cruz defended a Chinese company that stole an invention from an American inventor,REAL
"When I was born, less than 10 percent of the federal budget was entitlement spending Its now 60 percent of the budget",REAL
Rhode Island has the highest percentage of uninsured adults of any state in New England,REAL
Zika mosquitoes cant catch me,REAL
Pinellas County voters elected me as their chief financial officer (and) elected me as (their) governor four years ago,REAL
Says opponents of the health care law prevailed on our two main arguments to the US Supreme Court,REAL
"Under the Endangered Species Act, only 1 percent of the species that have been listed have actually been delisted",REAL
US Sen Bill Nelson chose to side with President Obama against the Keystone pipeline,REAL
Says Nelson Mandela was a communist,REAL
African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police,REAL
I built that border fence in San Diegoand it reduced the smuggling of people and drugsby 90 percent,REAL
"Says the person who Florida US Rep Allen West first hired as chief of staff told people attending a Tea Party rally that, We will use bullets if ballots dont work",REAL
Bing Energy said it decided to move to Florida because of Gov Rick Scotts plan to eliminate the corporate tax,REAL
"Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients",REAL
Americans havent had a raise in 15 years,REAL
The Romney-Ryan plan for Medicare does not affect benefits for anyone 55 or older,REAL
We lowered the business tax from 4 percent down to 1 percent,REAL
Florida's cost for the Medicaid expansion will be $16 billion a year or more,REAL
Says Jeb Bush -- not Charlie Crist -- signed legislation that let Duke Energy collect money for nuclear projects,REAL
The federal government is now on track for the second-largest budget deficit in 65 years,REAL
Foreign aid makes up about 1 percent of our entire budget,REAL
"We have a retiree that is collecting a $17,000 paycheck a month    tax free",REAL
A provision of the Senate immigration bill would require you to have government permission to get a second job,REAL
"Says state's expected ""increase in federal political clout is almost entirely due to the growth of the African American and Hispanic populations in Texas in virtually every region of the state",REAL
Says Democratic gubernatorial candidate Mary Burke has proven on the Madison Board of Education that she supports raising taxes and spending,REAL
Buried in the Affordable Care Act is a huge government bailout,REAL
Were spending $1 trillion a year on our foreign policy,REAL
"Says Charlie Crist stood there, over 3 African-American prisoners inchains, on their knees, on the side of the road Saying that it was a great sight Saying we needed to bring it to FloridaAnd you did this whether you know or not on the eve of Juneteenth, the day the African-American community celebrates the end of slavery",REAL
Three thousand felons voted in Rhode Island in 2008,REAL
"There currently are 825,000 student stations sitting empty across Florida in every district and at every grade level",REAL
"Says streetcars carry more people than buses you attract more riders who dont ride transit now, and actually the operating costs are not any greater than the bus",REAL
99 percent of all new income today (is) going to the top 1 percent,REAL
We have a higher rate of tested lead in people in Cleveland than in Flint,REAL
25 percent of federal inmates are noncitizens,REAL
Governor Deal has increased education spending every year hes been in office,REAL
Donald Trump called the military that I served in a disaster,REAL
60 percent of all Americans do not want to see Planned Parenthood defunded,REAL
Clayton County Public Schools recently achieved a milestone that has eluded other metropolitan districts across the state by meeting federal guidelines for having a highly qualified staff,REAL
I took the state of Ohio from an $8 billion hole to a $2 billion surplus,REAL
"For thousands of public employees, Wisconsin Gov Scott Walkers budget-repair bill would take away any say they have in the workplace, and eliminate their union",REAL
Republican candidate for governor Ken Block was fined and had to admit that (he) funneled money illegally to the Moderate Party,REAL
The new Atlanta Braves stadium will require no tax increase for homeowners and provide $3 million annually for Cobb County schools,REAL
"But it was Hillary Clinton, in an interview with Tom Brokaw, who quote 'paid tribute' to Ronald Reagan's economic and foreign policy",REAL
"In 1968, a full-time worker earning minimum wage, could actually support a family of three above the poverty line Today, that same worker would earn less than the poverty line for a family of two",REAL
"Republican gubernatorial candidate Eric Greitens spent another $600,000 on image consultants to rebrand his charity, The Mission Continues",REAL
Says US Sen Ron Johnson doesnt even believe that theres a man-made role in climate change,REAL
Fox News barely covered (the Duggar family) scandal until Megyn Kelly was able to secure this interview,REAL
China is in the South China Sea and (building)a military fortress the likes of which perhaps the world has not seen,REAL
"During my eight years as county executive, we cut the number of county workers by 20 percent",REAL
(Bill) Nelson voted for billions in wasteful spending earmarks like the Bridge to Nowhere,REAL
"Under President Barack Obamas leadership, since June 2009, (the auto) industry has added a quarter of a million jobs",REAL
A recent study found that cities where Uber operates have 36%-56% fewer drunk driving deaths than cities without access to ridesharing,REAL
More businesses are closing than are opening for the first time in our nations history,REAL
"Obama says his bill ""reduced welfare rolls nearly 80 percent""",REAL
"The number of SWAT raids have gone up by 1,400 percent since the 1980s",REAL
The planned expansion of Savannahs port is a jobs creating project,REAL
"Says Rick Scott changed his promise from700,000 jobs created on top of what normal growth would be to just 700,000 jobs",REAL
I waited until (the Trans-Pacific Partnership trade agreement) had actually been negotiated before deciding whether to endorse it,REAL
"Gov Romney was very clear, he would veto the DREAM Act",REAL
"Under the clear letter of the law, (Justice Clarence Thomas) must recuse himself from the case challenging the constitutionality of the health care law",REAL
Collectively states are spending more on Medicaid than they do on K-12 education,REAL
"Lizbeth Benacquisto broke election law 105 times, hiding special interest contributors",REAL
"Every dollar we invested in high-quality, early education programs can save more than $7 later on by boosting graduation rates, reducing teen pregnancy, even reducing crime",REAL
